	standard_concept_name
8707	sodium fluoride 1 MG
8708	belladonna extract, USP 16.2 MG / opium 60 MG Rectal Suppository
8709	influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / influenza A-California-7-2009-(H1N1)v-like virus vaccine 0.03 MG/ML / influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Injectable Suspension [Fluvirin...
8710	acetaminophen 500 MG Oral Tablet [Actamin]
8711	cerivastatin sodium 0.4 MG Oral Tablet [Baycol]
8712	alanine 5.4 MG/ML / arginine 12 MG/ML / aspartate 3.2 MG/ML / cysteine 0.24 MG/ML / glutamate 5 MG/ML / glycine 3.6 MG/ML / histidine 4.8 MG/ML / isoleucine 8.2 MG/ML / leucine 1.4 MG/ML / lysine 1.2 MG/ML / methionine 3.4 MG/ML / phenylalanine 4.8 MG/...
8713	hydrocortisone 25 MG/ML Topical Solution
8714	citric acid 0.01 MG/MG / lactic acid 0.018 MG/MG / potassium bitartrate 0.004 MG/MG Vaginal Gel [Phexxi]
8715	ranitidine 10 MG/ML
8716	acetaminophen 325 MG / butalbital 25 MG Oral Tablet
8717	diflunisal 250 MG
8718	magnesium oxide 600 MG / pyridoxine hydrochloride 25 MG Oral Tablet
8719	cimetidine 800 MG
8720	povidone-iodine 50 MG/ML [Betadine]
8721	acetaminophen 4.17 MG/ML / chlorpheniramine maleate 0.0167 MG/ML / pseudoephedrine hydrochloride 0.25 MG/ML Oral Solution
8722	bacitracin 0.5 UNT/ML / dimethicone 200 MG/ML / zinc oxide 250 MG/ML Topical Spray
8723	benzoyl peroxide 0.025 MG/MG / clindamycin phosphate 0.012 MG/MG Topical Gel [Acanya]
8724	ascorbic acid 250 MG Chewing Gum
8725	calcium carbonate 600 MG / cholecalciferol 200 UNT Oral Tablet
8726	warfarin sodium 4 MG Oral Tablet
8727	lidocaine 25 MG/ML / prilocaine 25 MG/ML Topical Cream [EMLA]
8728	biotin 5 MG Disintegrating Oral Tablet
8729	acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule
8730	haloperidol 1 MG/ML Oral Solution
8731	bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injection
8732	lidocaine 0.025 MG/MG / prilocaine 0.025 MG/MG Medicated Patch
8733	alosetron 1 MG Oral Tablet [Lotronex]
8734	desonide 0.0005 MG/MG Topical Ointment
8735	budesonide 0.032 MG/ACTUAT Metered Dose Nasal Spray
8736	triamcinolone acetonide 0.25 MG/ML Topical Lotion
8737	benzocaine 15 MG / menthol 2.6 MG Oral Lozenge [Cepacol Sore Throat Pain Relief]
8738	doxycycline monohydrate 100 MG Oral Capsule [Mondoxyne]
8739	epoprostenol
8740	progesterone 0.08 MG/MG Vaginal Gel
8741	fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Wixela]
8742	sulfacetamide sodium 98 MG/ML / sulfur 48 MG/ML Topical Lotion [Plexion]
8743	Sprinkle 24 HR topiramate 100 MG Extended Release Oral Capsule
8744	lovastatin 10 MG Oral Tablet [Mevacor]
8745	selenium sulfide 23 MG/ML Medicated Shampoo
8746	fluorescein sodium 2.5 MG/ML / proparacaine hydrochloride 5 MG/ML Ophthalmic Solution
8747	4 ML labetalol hydrochloride 5 MG/ML Injection
8748	30 ML morphine sulfate 5 MG/ML Injection
8749	levofloxacin 500 MG [Levaquin]
8750	levofloxacin 250 MG [Levaquin]
8751	warfarin sodium 10 MG
8752	nizatidine 150 MG [Axid]
8753	acetaminophen 5 MG/ML
8754	Lactobacillus acidophilus 500000000 UNT Oral Tablet
8755	calcium carbonate 1200 MG
8756	sotalol hydrochloride 120 MG
8757	calcium carbonate 250 MG / simethicone 62.5 MG Oral Capsule
8758	aspirin 81 MG / calcium carbonate 777 MG Oral Tablet
8759	phenylephrine hydrochloride 10 MG Oral Tablet [Wal-Phed PE]
8760	30/70 Release 24 HR methylphenidate hydrochloride 60 MG Extended Release Oral Capsule
8761	docosahexaenoic acid 300 MG Oral Capsule
8762	24 HR minocycline 45 MG Extended Release Oral Tablet
8763	salicylic acid 0.06 MG/MG Topical Gel [Hydrisalic]
8764	tretinoin 0.375 MG/ML Topical Cream [Tretin X]
8765	trimethobenzamide hydrochloride 250 MG [Tigan]
8766	28 ACTUAT tiotropium 0.00125 MG/ACTUAT Inhalation Spray
8767	ibuprofen 400 MG Oral Tablet [Pacifene]
8768	hydrocortisone acetate 10 MG/ML Topical Cream [Hycort]
8769	{10 (24 HR clarithromycin 500 MG Extended Release Oral Tablet) } Pack
8770	prednisolone 15 MG Disintegrating Oral Tablet [Orapred]
8771	aspirin 800 MG Extended Release Oral Tablet
8772	brompheniramine maleate 0.8 MG/ML / codeine phosphate 2 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution [Poly-Tussin AC]
8773	dexamethasone 2 MG
8774	ziconotide acetate 0.1 MG/ML Injection
8775	{12 (acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet) / 8 (acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / phenylephrine hydrochloride 5 MG / triprolidine hydro...
8776	tasimelteon
8777	calcium carbonate 420 MG / simethicone 21 MG Chewable Tablet
8778	benzalkonium chloride 1 MG/ML / benzocaine 50 MG/ML Topical Spray
8779	fenofibrate 145 MG Oral Tablet [Tricor]
8780	onabotulinumtoxinA 100 UNT Injection
8781	risperidone 1 MG/ML Oral Solution
8782	sumatriptan 5 MG/ACTUAT Nasal Spray
8783	fluphenazine decanoate 25 MG/ML Injectable Solution
8784	lurasidone
8785	lisinopril 20 MG Oral Tablet [Prinivil]
8786	dofetilide 0.125 MG Oral Capsule [Tikosyn]
8787	6 ML clindamycin 150 MG/ML Injection [Cleocin]
8788	hydrocortisone 20 MG Oral Tablet [Cortef]
8789	bupivacaine Injectable Solution
8790	pramipexole dihydrochloride 1 MG [Mirapex]
8791	ezetimibe 10 MG / simvastatin 80 MG [Vytorin]
8792	cefdinir 50 MG/ML Oral Suspension [Omnicef]
8793	azelaic acid 0.15 MG/MG [Finacea]
8794	benzoyl peroxide 50 MG/ML Topical Solution
8795	diphenhydramine hydrochloride 50 MG Oral Capsule [Sleepinal]
8796	ondansetron 4 MG Oral Film
8797	dornase alfa 1 MG/ML [Pulmozyme]
8798	fenofibrate 130 MG Oral Capsule [Antara]
8799	trifluridine 10 MG/ML Ophthalmic Solution [Viroptic]
8800	12 HR guaifenesin 600 MG / phenylephrine hydrochloride 40 MG Extended Release Oral Tablet
8801	pramoxine hydrochloride 0.01 MG/MG / zinc oxide 0.125 MG/MG Topical Ointment
8802	diphenhydramine hydrochloride 25 MG Oral Film
8803	isosorbide mononitrate 60 MG Extended Release Oral Tablet [Imdur]
8804	policosanol 10 MG Oral Tablet
8805	atenolol 0.5 MG/ML
8806	vortioxetine Oral Tablet [Trintellix]
8807	calcium polycarbophil 625 MG Chewable Tablet [Mitrolan]
8808	sulfamethazine
8809	dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet
8810	alprazolam 1 MG/ML Oral Solution
8811	undecylenic acid 250 MG/ML Topical Solution
8812	influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / influenza A-California-7-2009-(H1N1)v-like virus vaccine 0.03 MG/ML / influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Injectable Suspension [Afluria 2...
8813	streptozocin 1000 MG Injection [Zanosar]
8814	phenol 5 MG/ML Oral Solution
8815	diphenhydramine hydrochloride 20 MG/ML Topical Spray [The Itch Eraser]
8816	camphor 40 MG/ML / menthol 160 MG/ML Topical Lotion
8817	Dopamine 40 MG/ML Injectable Solution
8818	carvedilol phosphate 40 MG Extended Release Oral Capsule
8819	24 HR metoprolol succinate 100 MG Extended Release Oral Tablet
8820	loratadine 10 MG Disintegrating Oral Tablet
8821	amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Oral Tablet [Adderall]
8822	phenazopyridine hydrochloride 100 MG Oral Tablet
8823	milrinone lactate 0.2 MG/ML Injection
8824	penicillin G
8825	nortriptyline
8826	desflurane 1000 MG/ML Inhalation Solution
8827	phenytoin sodium 100 MG Oral Capsule [Dilantin]
8828	doxepin 3 MG Oral Tablet
8829	azithromycin 40 MG/ML Oral Suspension
8830	ropivacaine hydrochloride 2 MG/ML Injection [Naropin]
8831	fenoprofen 200 MG Oral Capsule
8832	methylphenidate hydrochloride 27 MG Extended Release Oral Tablet [Concerta]
8833	aspirin 325 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule [Laniroif]
8834	folic acid 0.8 MG
8835	antipyrine 55 MG/ML / benzocaine 14 MG/ML Otic Solution
8836	benztropine mesylate 1 MG
8837	sulfacetamide sodium 95 MG/ML / sulfur 50 MG/ML Medicated Liquid Soap [Avar]
8838	oxytocin Injectable Solution
8839	amlexanox 0.05 MG/MG Oral Paste
8840	droxidopa 100 MG Oral Capsule [Northera]
8841	sermorelin
8842	12 HR pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Afrinol]
8843	ibuprofen 400 MG Oral Tablet [Ebufac]
8844	betamethasone 6 MG
8845	dexamethasone sodium phosphate 4 MG/ML Injectable Solution [Dexasone]
8846	lincomycin 500 MG [Lincocin]
8847	diphenhydramine hydrochloride 20 MG/ML Topical Cream [Benadryl]
8848	oxycodone 30 MG
8849	12 HR guaifenesin 1000 MG Extended Release Oral Tablet [Allfen]
8850	carisoprodol 350 MG Oral Tablet [Arisoprodol]
8851	methadone hydrochloride 10 MG Oral Tablet
8852	metoprolol tartrate 50 MG Oral Tablet [Lopressor]
8853	24 HR verapamil hydrochloride 240 MG Extended Release Oral Capsule
8854	azithromycin 500 MG Oral Tablet [Zithromax]
8855	12 HR amoxicillin 1000 MG / clavulanate 62.5 MG Extended Release Oral Tablet [Augmentin]
8856	clopidogrel
8857	indomethacin 50 MG Rectal Suppository
8858	tetracaine
8859	Fentanyl 0.01 MG/ML Injectable Solution
8860	lactic acid 50 MG/ML Topical Lotion
8861	acyclovir 50 MG/ML Topical Cream
8862	phenylephrine hydrochloride 100 MG/ML Ophthalmic Solution [Neo-Synephrine]
8863	buprenorphine 8 MG Sublingual Tablet [Subutex]
8864	cetirizine hydrochloride 10 MG Oral Capsule [Wal-Zyr]
8865	dexamethasone 1 MG/ML Ophthalmic Suspension
8866	1000 ML heparin sodium, porcine 2 UNT/ML Injection
8867	amyl nitrite
8868	sodium fluoride 0.011 MG/MG Toothpaste [Clinpro 5000]
8869	povidone-iodine 0.047 MG/MG Topical Ointment
8870	prednisone 20 MG Oral Tablet [Deltasone]
8871	diclofenac potassium 50 MG [Cataflam]
8872	nedocromil sodium 20 MG/ML Ophthalmic Solution
8873	12 HR carbamazepine 100 MG Extended Release Oral Capsule [Carbatrol]
8874	chloroprocaine hydrochloride 30 MG/ML Injection
8875	50/50 Release 24 HR methylphenidate hydrochloride 10 MG Extended Release Oral Capsule [Ritalin]
8876	hydrogen peroxide 30 MG/ML Medicated Pad
8877	rabeprazole sodium 10 MG Oral Granules
8878	salicylic acid 60 MG/ML Topical Lotion [Salex]
8879	triamcinolone 0.5 MG
8880	dextromethorphan hydrobromide 2 MG/ML / guaifenesin 37.4 MG/ML Oral Solution
8881	dextromethorphan hydrobromide 3 MG/ML / guaifenesin 25 MG/ML Oral Solution
8882	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML Oral Solution [Duraganidin NR]
8883	calcium carbonate 1500 MG [Caltrate]
8884	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet [Nexlizet]
8885	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Hycotuss Expectorant]
8886	chlorcyclizine hydrochloride 25 MG Oral Tablet
8887	benzocaine 15 MG/ML / chloroxylenol 1 MG/ML / hydrocortisone acetate 10 MG/ML Otic Suspension
8888	12 HR brompheniramine maleate 6 MG / diphenhydramine hydrochloride 25 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet
8889	lidocaine hydrochloride 100 MG/ML [Xylocaine]
8890	estradiol 0.9 MG Oral Tablet [Femtrace]
8891	benzocaine 0.1 MG/MG Topical Ointment [Anacaine]
8892	acetaminophen 20 MG/ML
8893	fluconazole 150 MG Oral Tablet [Diflucan]
8894	14 ACTUAT fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]
8895	amantadine hydrochloride 10 MG/ML Oral Solution
8896	aluminum hydroxide 500 MG / magnesium hydroxide 450 MG / simethicone 40 MG Chewable Tablet
8897	tadalafil
8898	cilostazol 50 MG Oral Tablet
8899	olanzapine 10 MG Disintegrating Oral Tablet
8900	diflunisal 500 MG Oral Tablet
8901	30 ML bupivacaine hydrochloride 5 MG/ML Injection [Sensorcaine]
8902	eluxadoline 100 MG Oral Tablet [Viberzi]
8903	12 HR oxymorphone hydrochloride 7.5 MG Extended Release Oral Tablet [Opana]
8904	stannous fluoride 0.004 MG/MG Oral Gel
8905	minocycline 100 MG Injection
8906	folic acid 0.4 MG Oral Tablet [Preconceive]
8907	aluminum hydroxide 100 MG/ML / magnesium hydroxide 90 MG/ML / simethicone 8 MG/ML Oral Suspension
8908	acetaminophen 325 MG Oral Tablet [Panex]
8909	8 HR acetaminophen 650 MG / guaifenesin 600 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet
8910	paroxetine mesylate 10 MG Oral Tablet
8911	sulfacetamide sodium 0.1 MG/MG
8912	benazepril hydrochloride 10 MG [Lotensin]
8913	fenofibrate 48 MG [Tricor]
8914	24 HR diltiazem hydrochloride 420 MG Extended Release Oral Capsule
8915	50 ML bupivacaine hydrochloride 2.5 MG/ML Prefilled Syringe
8916	fentanyl 0.05 MG/ML
8917	labetalol hydrochloride 100 MG
8918	lidocaine hydrochloride 0.5 MG
8919	{14 (lamotrigine 100 MG Oral Tablet) / 84 (lamotrigine 25 MG Oral Tablet) } Pack
8920	sulfacetamide 100 MG/ML Topical Solution
8921	insulin, regular, human 8 UNT Inhalation Powder
8922	clonidine hydrochloride 0.2 MG [Catapres]
8923	flucytosine 250 MG Oral Capsule [Ancobon]
8924	guaifenesin 20 MG/ML / hydrocodone bitartrate 0.6 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution
8925	ascorbic acid 60 MG / ferrous fumarate 460 MG / folic acid 1 MG / vitamin B12 0.01 MG Oral Capsule [Hematogen]
8926	miconazole nitrate 20 MG/ML Topical Lotion
8927	simvastatin 4 MG/ML Oral Suspension
8928	methylprednisolone 24 MG Oral Tablet [Medrol]
8929	minocycline 75 MG Oral Capsule [Dynacin]
8930	urea 20 MG
8931	sodium chloride 1000 MG
8932	famotidine 20 MG Disintegrating Oral Tablet [Fluxid]
8933	erythromycin estolate 25 MG/ML Oral Suspension [Ilosone]
8934	clobetasol propionate 0.5 MG/ML Topical Solution
8935	brimonidine tartrate 1.5 MG/ML Ophthalmic Solution
8936	divalproex sodium 500 MG Delayed Release Oral Tablet [Depakote]
8937	eletriptan 40 MG Oral Tablet
8938	digoxin 0.05 MG Oral Capsule
8939	levetiracetam
8940	acetaminophen 325 MG Rectal Suppository
8941	isosorbide dinitrate
8942	hydrocortisone 100 MG Injection [Solu-Cortef]
8943	84 HR estradiol 0.00417 MG/HR Transdermal System [Vivelle]
8944	phentolamine
8945	naloxegol 12.5 MG Oral Tablet [Movantik]
8946	mesalamine 800 MG Delayed Release Oral Tablet [Zaldyon]
8947	benzocaine 15 MG / menthol 2.6 MG Oral Lozenge [Angidol]
8948	gabapentin 600 MG
8949	etodolac 400 MG
8950	Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine
8951	10 ML alfentanil 0.5 MG/ML Injection
8952	metformin hydrochloride 100 MG/ML Oral Solution [Riomet]
8953	{140 (selexipag 0.2 MG Oral Tablet [Uptravi]) / 60 (selexipag 0.8 MG Oral Tablet [Uptravi]) } Pack [Uptravi Titration Pack]
8954	Lactobacillus acidophilus 0.05 MG / Lactobacillus delbrueckii subsp. bulgaricus 0.05 MG Oral Tablet
8955	sulfacetamide sodium 100 MG/ML Topical Cream [Ovace]
8956	salicylic acid 30 MG/ML / sulfur 50 MG/ML Medicated Shampoo [Meted]
8957	bevacizumab Injection
8958	cefixime 40 MG/ML Oral Suspension [Suprax]
8959	nadolol 40 MG [Corgard]
8960	minoxidil 20 MG/ML
8961	calcium carbonate 250 MG
8962	rofecoxib 12.5 MG
8963	magnesium chloride 71 MG/ML
8964	amoxicillin 20 MG/ML
8965	8 HR carbidopa 36.25 MG / levodopa 145 MG Extended Release Oral Capsule
8966	etodolac 200 MG Oral Capsule
8967	diclofenac sodium 0.03 MG/MG Topical Gel
8968	72 HR fentanyl 0.025 MG/HR Transdermal System
8969	erythromycin lactobionate 500 MG Injection
8970	prednisolone 5 MG Oral Tablet
8971	hypromellose 5 MG/ML Ophthalmic Solution
8972	1 ML dexamethasone phosphate 10 MG/ML Injection
8973	cefuroxime 250 MG Oral Tablet [Alti Cefuroxime]
8974	calcium citrate 2380 MG / cholecalciferol 0.01 MG Chewable Tablet
8975	flurandrenolide
8976	castor oil
8977	fluconazole 10 MG/ML Oral Suspension
8978	hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [Micardis-HCT]
8979	theophylline 300 MG Extended Release Oral Tablet [Pliva brand of Theophylline]
8980	24 HR verapamil hydrochloride 120 MG Extended Release Oral Capsule [Verelan]
8981	cefotaxime 1000 MG Injection
8982	acetaminophen 500 MG / hydrocodone bitartrate 7 MG Oral Tablet
8983	fluconazole 100 MG [Diflucan]
8984	sufentanil
8985	fexofenadine hydrochloride 60 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Allegra-D]
8986	isosorbide mononitrate 120 MG [Imdur]
8987	doxycycline 50 MG
8988	5 ML zinc sulfate 5 MG/ML Injection
8989	colistin 75 MG/ML Injectable Solution [Coly Mycin M]
8990	24 HR pramipexole dihydrochloride 0.375 MG Extended Release Oral Tablet
8991	24 HR metoprolol succinate 100 MG Extended Release Oral Capsule
8992	ergonovine 0.2 MG
8993	erythromycin 250 MG [E-Mycin]
8994	thioridazine 10 MG [Mellaril]
8995	droperidol 2.5 MG/ML
8996	folic acid 0.5 MG / vitamin B12 0.2 MG / vitamin B6 5 MG Oral Tablet
8997	aspirin 160 MG
8998	capsaicin 0.25 MG/ML Topical Cream [Analgesic Balm with Capsaicin]
8999	folic acid 0.4 MG / vitamin B12 0.1 MG / vitamin B6 50 MG Oral Tablet
9000	papaverine 30 MG
9001	24 HR minocycline 90 MG Extended Release Oral Tablet [Solodyn]
9002	amoxicillin 50 MG/ML Oral Solution
9003	fenoldopam 10 MG/ML Injection
9004	corticotropin-releasing hormone
9005	fluvoxamine maleate 25 MG [Luvox]
9006	methylphenidate hydrochloride 18 MG
9007	trifluoperazine 5 MG Oral Tablet [Stelazine]
9008	ketotifen 0.25 MG/ML Ophthalmic Solution [Claritin Eye]
9009	nitrofurantoin Oral Capsule [Macrobid]
9010	dextromethorphan hydrobromide 6 MG/ML / guaifenesin 40 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution
9011	prednisone 1 MG Oral Tablet
9012	melatonin 3 MG Oral Tablet
9013	enalapril maleate 10 MG Oral Tablet [Vasotec]
9014	pravastatin sodium 10 MG Oral Tablet
9015	meloxicam 7.5 MG Oral Tablet [Mobic]
9016	24 HR glipizide 10 MG Extended Release Oral Tablet
9017	buprenorphine 0.75 MG Buccal Film [Belbuca]
9018	100 ML gentamicin 0.8 MG/ML Injection
9019	brinzolamide
9020	tolterodine tartrate 2 MG Oral Tablet
9021	potassium chloride 20 MEQ Powder for Oral Solution [Klor-Con]
9022	benzocaine 0.1 MG/MG Oral Gel [Anbesol]
9023	brimonidine tartrate 2 MG/ML / timolol 5 MG/ML Ophthalmic Solution [Combigan]
9024	hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML Rectal Cream
9025	naproxen 375 MG Delayed Release Oral Tablet
9026	theophylline 400 MG Extended Release Oral Capsule [Theo-24]
9027	200 ML linezolid 2 MG/ML Injection
9028	lidocaine 0.05 MG/MG
9029	rizatriptan 10 MG
9030	cefuroxime 500 MG [Ceftin]
9031	temazepam 30 MG
9032	12 HR cetirizine hydrochloride 5 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Aller-Tec D]
9033	pentobarbital sodium 50 MG/ML Injectable Solution
9034	50/50 Release 24 HR methylphenidate hydrochloride 30 MG Extended Release Oral Capsule [Ritalin]
9035	azelaic acid 200 MG/ML Topical Cream [Finevin]
9036	vancomycin 500 MG
9037	imipramine pamoate 125 MG Oral Capsule
9038	24 HR ciprofloxacin 1000 MG Extended Release Oral Tablet
9039	urea 390 MG/ML Topical Cream
9040	glutathione 50 MG Oral Tablet
9041	dichlorphenamide 50 MG Oral Tablet
9042	glyburide 1.5 MG Oral Tablet
9043	hydrocortisone acetate 19 MG/ML / iodoquinol 10 MG/ML Topical Cream
9044	hydrochlorothiazide 25 MG / timolol 10 MG Oral Tablet
9045	Abuse-Deterrent 24 HR hydrocodone bitartrate 60 MG Extended Release Oral Tablet [Hysingla]
9046	acetaminophen 300 MG / codeine phosphate 30 MG Oral Tablet [Pyregesic]
9047	trazodone 10 MG/ML
9048	povidone-iodine 0.1 MG/MG [Betadine]
9049	{18 (estradiol 0.01 MG Vaginal Insert [Imvexxy]) } Pack [Imvexxy 10 MCG Starter Pack]
9050	isosorbide dinitrate 20 MG
9051	Sensor 200 ACTUAT albuterol 0.09 MG/ACTUAT Dry Powder Inhaler [ProAir]
9052	morphine sulfate 0.4 MG/ML Oral Solution
9053	trimethoprim 200 MG Oral Tablet
9054	hydrocodone bitartrate 2.5 MG / ibuprofen 200 MG Oral Tablet [Reprexain]
9055	pantoprazole
9056	amlodipine 5 MG / benazepril hydrochloride 20 MG Oral Capsule
9057	acetaminophen 500 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
9058	60 ACTUAT olodaterol 0.0025 MG/ACTUAT Inhalation Spray
9059	Meperidine / Promethazine Injectable Solution
9060	repaglinide 2 MG Oral Tablet [Prandin]
9061	3 ML insulin glulisine, human 100 UNT/ML Pen Injector
9062	thioridazine 25 MG Oral Tablet
9063	1 ML evolocumab 140 MG/ML Auto-Injector [Repatha]
9064	fidaxomicin 200 MG Oral Tablet
9065	20 ML ropivacaine hydrochloride 5 MG/ML Injection
9066	trazodone hydrochloride 50 MG Oral Tablet [Desyrel]
9067	diazepam 2 MG Oral Tablet [Tensium]
9068	cellulose
9069	hydrocortisone 0.01 MG/MG Rectal Ointment
9070	bisoprolol fumarate 10 MG Oral Tablet [Zebeta]
9071	100 ML sodium chloride 4.5 MG/ML Injection
9072	diphenhydramine hydrochloride 12.5 MG [Benadryl]
9073	collagen
9074	methylprednisolone 4 MG [Medrol]
9075	bacitracin 0.5 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG Topical Ointment
9076	quinapril 10 MG
9077	vitamin E 180 MG Oral Capsule [Aquasol E]
9078	Cefotaxime 1000 MG Injectable Solution
9079	oxybutynin chloride 1 MG/ML Oral Solution [Ditropan]
9080	ketorolac tromethamine 15 MG/ML Prefilled Syringe
9081	ascorbic acid 12 MG/ML / folic acid 0.2 MG/ML / polysaccharide iron complex 20 MG/ML Oral Solution
9082	prednisolone 1 MG/ML [Pediapred]
9083	Fentanyl 0.025 MG/ML Injectable Solution
9084	promazine
9085	acetaminophen 500 MG Oral Tablet [Anacin-3 Maximum Strength]
9086	aspirin 845 MG / caffeine 65 MG Oral Powder [BC Original Formula]
9087	chlorzoxazone 750 MG Oral Tablet
9088	clotrimazole 0.01 MG/MG [Lotrimin]
9089	amphotericin B 100 MG/ML Oral Suspension
9090	miconazole nitrate 50 MG Buccal Tablet
9091	10 ML ibutilide fumarate 0.1 MG/ML Injection [Corvert]
9092	zinc sulfate 3 MG/ML Injectable Solution
9093	zinc oxide 15 MG Disintegrating Oral Tablet
9094	{9 (Once-Daily gabapentin 300 MG Oral Tablet [Gralise]) / 24 (Once-Daily gabapentin 600 MG Oral Tablet [Gralise]) } Pack [Gralise Sample Pack]
9095	quinidine gluconate 324 MG Extended Release Oral Tablet [Quinaglute]
9096	isosorbide dinitrate 80 MG
9097	enalapril maleate 1 MG/ML Oral Solution
9098	calcium carbonate 675 MG / magnesium hydroxide 135 MG / simethicone 60 MG Chewable Tablet
9099	thioridazine 30 MG/ML Oral Solution
9100	polyethylene glycol 3350 236000 MG / potassium chloride 2970 MG / sodium bicarbonate 6740 MG / sodium chloride 5860 MG / sodium sulfate 22740 MG Powder for Oral Solution [Golytely]
9101	diazepam
9102	sevoflurane 1000 MG/ML Inhalation Solution
9103	buspirone
9104	hydroxyzine hydrochloride 50 MG Oral Tablet [Atarax]
9105	dexamethasone 0.5 MG/ML Ophthalmic Solution
9106	10 ML calcium gluconate 100 MG/ML Injection
9107	0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid va...
9108	diclofenac potassium 25 MG Oral Capsule [Zipsor]
9109	sotalol hydrochloride 80 MG Oral Tablet [Betapace]
9110	castor oil 793 MG/ML / Peruvian balsam 88.4 MG/ML / trypsin 0.122 MG/ML Topical Spray
9111	beta carotene
9112	prochlorperazine 15 MG Extended Release Oral Capsule
9113	amlexanox 0.05 MG/MG Oral Paste [Aphthasol]
9114	naproxen 375 MG [Naprosyn]
9115	oxycodone 5 MG
9116	eletriptan 20 MG [Relpax]
9117	ubidecarenone 300 MG Oral Capsule
9118	verapamil hydrochloride 180 MG [Calan]
9119	meperidine hydrochloride 100 MG/ML Cartridge
9120	{15 (estradiol 1 MG / norgestimate 0.09 MG Oral Tablet) / 15 (estradiol 1 MG Oral Tablet) } Pack [Prefest 30 Day]
9121	phenobarbital 60 MG
9122	amlodipine 10 MG / hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT]
9123	selenium sulfide 22.5 MG/ML Topical Foam [Tersi Foam]
9124	carbamazepine 100 MG Extended Release Oral Tablet [Tegretol]
9125	12 HR dextromethorphan hydrobromide 30 MG / guaifenesin 650 MG Extended Release Oral Tablet
9126	neostigmine methylsulfate 0.25 MG/ML Injectable Solution
9127	sodium chloride 9 MG/ML Prefilled Syringe
9128	treprostinil 1 MG/ML Injectable Solution [Remodulin]
9129	24 HR nitroglycerin 0.6 MG/HR Transdermal System [Nitro-Dur]
9130	tadalafil 5 MG [Cialis]
9131	loperamide hydrochloride 2 MG Oral Tablet [Normaloe]
9132	benzocaine 15 MG / menthol 20 MG Oral Lozenge
9133	sennosides, USP 8.8 MG/ML Oral Solution [Little Tummys Laxative Drops]
9134	hydrochlorothiazide 50 MG / propranolol hydrochloride 120 MG [Inderide]
9135	propranolol hydrochloride 40 MG Oral Tablet
9136	hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Diovan HCT]
9137	cimetidine 800 MG Oral Tablet
9138	atropine sulfate 0.5 MG/ML Injectable Solution
9139	calcium citrate 950 MG Oral Tablet
9140	cephalexin 750 MG Oral Capsule
9141	1 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]
9142	amcinonide 0.001 MG/MG Topical Ointment
9143	chlorpheniramine maleate 8 MG Extended Release Oral Capsule
